dialogue,emotion
 All right . Say cheese ! ,joy
" How do you do , Ms . Yang.You speak very good English . ",joy
 Thank you . I begin to like English even when I was a child . ,joy
 It's amazing . ,other
 What ? Beg your pardon . ,other
 I just cann't believe my ears ! ,other
 Thank you for you help . ,joy
 That ’ s great ! Do you have any plans ? ,joy
 Sounds nice . ,joy
 How about a party at home ? That way we can get together and celebrate it . ,joy
" OK , Mum . I'll invite my friends home . ",joy
"I feel like going for a drink , it's been a long day . ",joy
" Great idea ! Peter , I could use the drink . ",joy
 How about the new bar across road ? ,joy
" Sounds good . The food there is fantastic , too . ",joy
" I agree , I had lunch there last week . ",joy
 excellent ! That sounds like a plan . ,joy
"Hi , Mr . Wang . Do you feel like going boating with me ? ",joy
" Sounds interesting , I haven't gone boating for some time now , and what time ? ",joy
 How about tomorrow afternoon ? ,joy
 Sure . Where shall I meet you ? ,joy
 At the gate of the park . ,joy
 Great . I look forward to meeting you . ,joy
 See you then . ,joy
 See you . ,joy
" Yes , it's so exciting , though I had the most falls in our skiing team . ",joy
You look pale recently . ,joy
 Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . ,joy
 Take good care of yourself . ,joy
 Thank you . I will . ,joy
"Isn't this lovely weather ? Will you help me water the flowers , Jack ? ",joy
 Good.So we don't have to work.How nice ! ,joy
 I like him.He ' s good for her . ,joy
 You're right . He sure is . ,joy
How about going to the cinema tonight ? ,joy
 That's great . What's on tonight ? ,joy
 Really ? Are you sure ? ,other
 Really ? ,other
"Oh , no ! ",other
 How dreadful ! ,other
" Oh , dear . That ’ s terrible . Not at all what I expected . ",other
" It ’ s awful , isn ’ t it ? ",other
 I can ’ t bear to look at it . I ’ m rather disappointed . ,other
 That's really interesting . ,joy
 Sure . So what about you ? Do you have any hobbies ? ,joy
" Well , I like collecting matchbox ! I'm not sure if that counts , though . ",joy
 Of course it does . Everybody has his own hobby . ,joy
" Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us . ",joy
 I'll give it a try . Give me a call and let's go down together . ,joy
 Ok . I'll call you Saturday morning . ,joy
 Great . ,joy
" My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date . ",sadness
" You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea . ",other
" Anyway , I don ’ t want to post my face up for sale on the internet like that . ",other
 I don ’ t want to post my personal information on the internet . I ’ m not knowing who is reading it . ,other
" Yeah , I heard it's going to be a lot of fun . ",joy
" Really ? Well , what time does it start ? ",other
" This party is going to have a DJ , food , and drinks . ",joy
" Wow , that does sound like it's going to be fun . ",joy
 So am I going to see you at the party ? ,joy
" Yeah , I will be there . ",joy
 I am pretty sure that I am in trouble . ,sadness
Good luck on your test tomorrow . We'll be crossing our fingers for you ! ,joy
 Thanks . ,joy
I'll never ever work together with him ! ,anger
 Will you take my materials back from him for me ? Please ! ,anger
"Oh , my God ! I've been cheated ! ",anger
 What ? What did you buy ? ,other
 It's a brick ! I can't believe how stupid I was . Damn it ! ,anger
" There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . ",anger
 I can't believe how stupid you are . Why didn't you open the box ? ,other
" Oh , that's exciting . What does this guy look like ? Is he hot ? ",joy
 It seems you two are a good match . What qualities do you look for in a friend ? ,joy
" Well , that's something I've never heard of . But if you ask me what I value most in a friend , I would say honesty . ",other
" Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! ",other
 Really ? That's great ! I know that your company has a lot of clients in France . ,other
It smells like an ashtray in here ! ,anger
 What ’ s wrong ? I thought we agreed that you were gonna quit smoking . ,anger
" Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . ",anger
 Fine ! I want a divorce ! ,anger
" I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him . ",other
 Because you seem to have lost your vigilance . You should be on the watch out . ,other
 Isn't there anything that sounds fishy ? ,anger
 All-right guy ? All right . Let's talk about something else instead . ,other
Cheese ! It tastes like cardboard . ,other
 I think so . Maybe that ’ s why it ’ s cheap here . ,other
 Really ? Are you going to introduce us ? ,other
 I'm sorry to have made you disappointed . ,sadness
" Was I ? Sorry , I didn ’ t mean to be . I do apologize . ",other
 Really ? Why ? ,other
" That sounds like fun , but did you exercise ? ",joy
" Oh , dear . ",other
" Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment . ",joy
I'm going to Japan this year on vacation . ,joy
 Have you ever been to America ? ,joy
" No , but I'd really like to . ",joy
 You'd like it . ,joy
"Hey , Mark , long time no see . ",joy
 Julie ! It's good to see you again . How have you been ? ,joy
 Great . I just got back from a week's vacation in Thailand . ,joy
 Really ? How was it ? ,joy
 Fantastic ! I didn't want to come back . ,joy
 I hear the beaches in Thailand are beautiful . ,joy
" They are . And not only that the people are friendly , but also the food is delicious , not to mention cheap . ",joy
 I do like Thai food . Did you see much of Bangkok ? ,joy
 Not much . I've got enough city life in Beijing . ,joy
 I know what you mean . I could use a vacation myself . ,joy
" Hey , wouldn't it be great if we could go to Thailand together sometime ? ",joy
" Yeah , it sure would . ",joy
"Congratulations , Vivian . You won the grand prize , again . ",joy
 Isn't it just great ! I just knew I'd win ! ,joy
 You did ? How ? Did you wear red underwear again this year ? ,other
 What ? ! You did that ? ? ! ! ! ,other
 Thanks a lot . ,joy
Boy ! What a beauty ! I fall in love with her at the first sight . ,joy
 Of course.No girl is more charming . ,joy
 Thanks . ,joy
 Thank you very much for doing this interview . ,joy
 My pleasure . Have you seen the movie yet ? ,joy
" Yes . I have . I liked it very much . Like you , I was very impressed with Rachel ’ s performance in the movie . She ’ s going to be a star . ",joy
"Oh , man . I had the best supper last night . My wife made a stir-fry and it was amazing ! ",joy
 I love stir fry crispy bitesize vegetables covered in a mixture of soy sauce and oyster sauce . Wilted greens and fresh bean sprouts . Throw in some onion and garlic and ginger ! Mmm ! Mmm ! It ’ s almost lunchtime . I would die for a plate of stir fry right now ! ,joy
 What ? You call that a stir fry ? More meat than vegetables ? That ’ s the worst insult you could throw at a Chinese stir fry . What a disgrace to the wok she fried it in ! What you had is equivalent to a fajita without the wrap ! ,other
 I ’ m so happy to hear that ! I knew we belong together . I love you so much . ,joy
" thank you , Steve . You're always so encouraging . ",joy
 that's what friends are for . ,joy
 It was a nightmare . ,other
" Maybe it's a good things . If you don't have to go to Hong Kong , you can take a break and take things easy for a while . ",joy
 You are right . Maybe we should work out a fitness plan and start to do more exercise . Sitting around in the office all day is no way of keeping fit . ,joy
" That's a good idea . Let's see if we can get more people in this plan . There isn't much business these days anyway , so I think many people will be interested . ",joy
" Yes , my wife is coming to get me . ",joy
 That's good . Do you live near here ? ,joy
 I don't need a car . I walk to work . ,joy
 You're lucky ! ,joy
"Happy anniversary , sweetheart ! ",joy
 Yes . to our first anniversary and many more to come . Cheers ! ,joy
 I'll drink to that . Thanks for making this a night worth remembering . ,joy
" Well , it's a special day . They say if you survive the first year , the rest is smooth sailing . ",joy
" That's good to know . Oh , listen ! The band's playing our song . ",joy
 I requested it . What do you say ? Do you have your dancing shoes on ? ,joy
 Always . ,joy
 How about a party at home ? That way we can get together and celebrate it . ,joy
" OK , Mum . I'll invite my friends home . ",joy
"How about seconds , Victor ? ",joy
 No.thanks . I'm full . ,joy
Why don't you have dinner with me tonight ? ,joy
 I'd love to . ,joy
 Let's say about 6:00 ? ,joy
 That's OK with me . ,joy
" Really ? well , ok , you're welcome . ",other
" Sure , that would be great . I'll bring the wine . ",joy
 OK . Then I'll be expecting you . ,joy
 Can I get the black ball in ? ,joy
 The black ball has to be the final ball in the pockets . ,joy
 Let's go and try now ! ,joy
How about going to hear a country-and-western singer tonight ? ,joy
 I'd enjoy that . ,joy
 I'll pick you up around 8: 00 . ,joy
 OK . I'll see you then . ,joy
" That's exactly what I want , thank you . ",joy
" really ? I never would have guessed . The criminals must only come out in the evenings , because I've never noticed anything strange when I've been at your house in the daytime . ",other
 What ? Beg your pardon . ,other
 I just cann't believe my ears ! ,other
What a nice tie you are wearing ! ,joy
 Thank you.But does it really look all right ? ,joy
 Certainly.It matches your suit perfectly . ,joy
 Then does it go well with my sweater ? ,joy
 Yes.You look very smart today . ,joy
 Thank you very much . ,joy
"Happy Mother's Day , Mom ! ",joy
 Thanks ! These are beautiful . You shouldn't have ! ,joy
 Of course I should have ! You certainly deserve them ! You put up with all of us . ,joy
" I forgot what I put up with . In that case , I do deserve these flowers . ",joy
 That sounds easy enough . ,joy
" Sure . Once you get the hang of it , it ’ s a piece of cake ! It ’ s nothing to worry about . ",joy
" Oh , no . ",sadness
 Great . I have also been thinking of getting one . Do you think you could ask Jane to have a quiet word with Margaret ? My birthday is not that far away . ,joy
Mumm . Those burgers smell great . It's perfect day for a barbecue . ,joy
" It sure is . I'm glad it didn't rain . My name's Mike Gates , by the way . ",joy
" Oh , hi ! I'm Barbara Johnson . Nice to meet you . ",joy
 I'm sorry . What's your name again ? ,joy
" Barbara . But please , just call me Barb . ",joy
 So Barb ... what do you do ? ,joy
 I'm studying medicine . ,joy
 Really ? Where ? ,other
 At Harvard . What about you ? ,joy
 I'm an engineer at IBM . ,joy
" Oh , are you ? That sounds interesting . ",joy
" Yeah . I like it . Hey , it looks like the food is ready . ",joy
 Good . I'm starving . ,joy
Wow ! I can't believe I'm standing here ! ,joy
 I'm standing in front of an exquisite work of art ! ,joy
" I've seen it so many times in books , but I never imagined I'd get to see it in person . ",joy
" Maybe so , but do you have any idea how much this one is worth ? ",joy
 About 80 million dollars . ,joy
 Whoa . ,other
"hey , Maris , are you a part-timer ? ",other
 cool ! It must be amazing to work at a bar ! ,joy
 really ? It sounds interesting . ,joy
 great . I ’ m looking forward to it . ,joy
Have you seen that house ? ,joy
" Yes , it looks interesting . ",joy
 You're right . I love it very much . ,joy
 It must be old . ,joy
 At least more than 100 years old . ,joy
 Let's enter it ! ,joy
 It must be a haunted house . Are you frightened ? ,other
"Jim , how was your weekend ? ",joy
 I went to the beach with my friends and had a barbecue there . ,joy
" That sounds like a lot of fun . Did you go swimming , too ? ",joy
 Sure . I think it ’ s a fantastic place to go . ,joy
 I couldn ’ t agree more . That ’ s an ideal place for a vacation . ,joy
 It sure is . ,joy
 I can ’ t wait to go there myself . ,joy
 That sounds like fun . But where can I get clothes that old ? ,joy
 Check out your mom's closet . I'll bet she still has something . ,joy
 Good idea . Can I bring some music from that period too ? ,joy
 That will be great ! Do you have LPs or Cds ? ,joy
 Don't tell me you have a record player ! ,joy
" Yeah , you are right . I must stop complaining and stick to it every day . ",joy
" Yeah ! Where there is a will , there is a way . ",joy
"I ’ m so excited , mother . Oh , a new baby ! ",joy
 My first grandchild . ,joy
" And my first nephew . He looks a lot like you , mum . He does . ",joy
" Do you think so ? Well , I guess . He does look a lot like me . Oh , he ’ s got Richard ’ s eyes though . ",joy
" Yes , he does have Richard ’ s eyes . The baby even looks like you than Richard does . ",joy
The music has started . ,joy
 How do you like this waltz ? ,joy
 It's very nice . ,joy
 May I ask you for a dance ? ,joy
 Certainly . ,joy
 You are doing the waltz wonderfully well . ,joy
" Thanks . I'm glad you say so . Oh , the music has stopped . ",joy
"Doris , I'm glad you're home . I'm terrified . I don't know what to do ! ",other
 I think someone is stalking me . ,other
" No , it can't be . Really ? Who ? ",other
" Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ? ",other
 Why can't I call the police now ? He was definitely following me ! ,other
" Oh , my God ! John , I didn ’ t know you are religious . You just look like a scientific kook , like Leonard in the Big Bang Theory . ",other
 Really ? ,other
 How come ? I mean why most of them were religious people ? ,other
 That ’ s right . I have a lot to learn from you . ,joy
 You can ask me any question at any time . ,joy
 University ? Why ? You asked me last year . ,other
 God save me ! Is there anything wrong with you ? Didn't I tell you ? ,other
I've been chosen to plan the next family reunion . ,joy
 Fun for you ! Do you get to do anything you want ? ,joy
 This is going to be a major production for you ! ,joy
 A crazy language ? Why do you say that ? ,other
 I liked it . I thought it was great . ,joy
 Yes . I thought it was excellent . Didn't you ? ,joy
 Not really . I thought it was disappointing . ,other
" It's a nice cinema , isn't it ? ",joy
 Do you think so ? I don't like it very much . I found it rather uncomfortable . ,other
" Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! ",anger
" I liked physics . It ’ s all math , really , arcs , curves , velocity , cool stuff . ",joy
 A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me . ,other
 There is nothing good at the moment.Let ' s do something different.Would you like to go to a concert ? ,joy
" Yes , I'd love to.Here is a good one , Mozart and Beethoven.It ' s on the Festival Hall.Shall we go there ? ",joy
" Wow , you sound very professional . ",other
 Really ? What was the matter ? ,other
Do you like flowers ? ,joy
" Of course , I like . ",joy
 What's your favorite flower ? ,joy
 Forsythia . It's also called winter jasmine which is the symbol of the spring's arrival . ,joy
 Spring is a lively season . ,joy
 Yes . How about you ? ,joy
 I admire plum blossoms very much . It seems that only it can blossom in the cold winter . ,joy
 You have a perfect taste ! ,joy
 It is the symbol of laughing at hoar frost and fighting with snow . I admire the bravery of plum blossoms . ,joy
 Really ? Perhaps I should listen to classical music often . I heard that listening to classical music is helpful in reducing stress . ,other
" That ’ s a good idea . You should do the same with some music . You might find something you like . Classical music might make you clever , but dance might make you livelier and happier . ",joy
"Darling , I have news for you . Bobby and his wife , Evelyn , are going to have a baby soon . ",joy
 Really ? I thought his wife couldn ’ t have a baby . ,other
 Actually they ’ re expecting the baby to come on my birthday . ,joy
" Oh , what a coincidence ! I bet Bobby must be very happy about it . He likes children and always wants a child of his own . ",other
" In fact , they ’ re both very excited about the coming baby . Evelyn imagines what their baby would be look like , since one parent is American and the other one is Chinese . ",joy
" Oh ! You mean she doesn ’ t have to work now ? It ’ s hard for young parents not to overreact , isn ’ t it ? ",other
" Wow , that much ? Don't they have any public courses ? ",other
" Extremely good . I shot a 78 , including 5 birdies ! ",joy
 Congratulations ! What's your normal handicap ? ,joy
 My drives were terrible today . I kept slicing the ball into the roughs and sand traps . ,sadness
The concert was really great . ,joy
 I agree . ,joy
 The singing group used to be very popular . ,joy
 I can't believe they would play so good . ,joy
I have tickets to The Phantom of the Opera on Friday night . Would you like to go ? ,joy
 Thanks . I'd love to . What time is the show ? ,joy
" That sounds great . So , do you want to have dinner at 6:00 ? ",joy
" Oh , that's OK . Let's just meet at the theater before the show , around 7:30 . ",joy
 That sounds fine . ,joy
" Hey , that ’ s not the girl with pink hair , is it ? The girl I saw with Jack yesterday . ",other
" What ? She was cheating on me with that ugly guy . Oh , no , I feel like such a loser . ",anger
 But she lied to me . ,anger
This is a nice set of wheels . How much did the dealer charge you for this ? ,joy
" A lot . I probably got to moonlight for the rest of my life , but so what , it ’ s worth it . Come on , get in . Let ’ s take a drive . ",joy
" Okay then , let ’ s go fast ! Whoa ! This thing can really accelerate fast . ",joy
 Check out what happens when I put on the brakes suddenly . It can stop quickly . ,joy
Hello ! What are you reading about in the newspaper ? ,joy
 I ’ m so happy for the family ! They must be very relieved and excited about that . ,joy
Hi ! Tom . Want to go to play bowling tonight ? ,joy
 Sounds good . When and where shall we meet ? ,joy
 Let me see . How about 6:30 at the gate of the club ? ,joy
" Fine , see you then . ",joy
" This is interesting , Ms.Parker . ",joy
 Yes . It is one of the most harmful computer viruses in the world . People say it will break out again om Valentines ' Day this year . ,other
 This is terrible . Why do hackers play such a dirty trick ? ,other
 So they create viruses to tell people they are smart ? That's really sick . ,other
" Oh , yeah ? ",other
" Yes , it ’ s exciting . This month we are doing crossword puzzles . ",joy
" Oh , very interesting . And what about Rita ? She was such a bright child — always reading . ",joy
 Really ? And Chris ? She was a very pretty little girl . ,other
" Oh , how interesting . And what about Larry and Rocky ? ",joy
 Really ? Where does he live now ? ,other
 Really ? Where does he fly ? Does he fly to other countries ? ,other
"Merry Christmas , Linda ! ",joy
" Merry Christmas , Lee ! ",joy
" Linda , thank you for this wonderful Christmas dinner . I really enjoyed it . ",joy
 Thank you for coming . I'm glad you liked it . ,joy
 For God's sake ! It's too bloody . How can people be so cruel ? ,anger
 You can't prick the fish to please the sick tastes of some bloody people . ,anger
" Just an animal ? But it has life too . If you want a tattoo , get one . It's your choice because you want it . But has anyone asked the fish if it wanted one ? ",anger
 Today ? ,other
 Yes . ,joy
" Well , imagine that ! How old are you ? ",joy
 Eighteen.Some friends are having a birthday party for me tonight.Do you want to come ? ,joy
 Very much.What time ? ,joy
 About 6:00 . ,joy
 I'll be at your house at about 5:30 . Happy birthday . ,joy
"Well , it was nice meeting you . ",joy
" Yes , I hope we meet again . ",joy
" Sure , I'll give you a call . ",joy
 Okay . ,joy
" Yeah , I went over the figures this morning . We're finally started making money again ! ",joy
" We've never sold this much before , our growth this year has been phenomenal . We have captured 8 % of the market , up from last year by 120 % . Our strategy is working ! ",joy
" not only our annual sales brake a record , but our month by month earnings exceeded our forecast as well . After a two-year slump , we finally back in the black . ",joy
 Let's hope this stroke of good luck lasts . I hope we are over our financial difficulties for good . ,joy
 Let's hope it is ! ,joy
" Yes , I received the scholarship 3 times on end . ",joy
Your brand new car is so excellent . I like it very much . ,joy
 Let ’ s go for a joy ride . ,joy
 Sounds good . What do we need to bring ? ,joy
 America ? Did you get admit to MIT ? ,joy
 Yes . ,joy
 Congratulations ! Susan . I ’ m so happy for you . ,joy
 Thank you . ,joy
 Really going to miss you . ,joy
 Me too . I ’ ll write to you once I get settled . But I have so much to do . You might have to wait a while . But I really will write to you . I love to write letters . I think it ’ s more meaning than the emails even than the phone call . ,joy
 Ok . Take care . Have a nice journey . ,joy
 Thank you . ,joy
 Look after yourself . Bye . ,joy
 Bye . ,joy
Did you see Ally Mabel last night ? ,joy
" Yes , I did . Did you ? ",joy
" Yes , wasn't it funny ? ",joy
" Oh yes , I loved it . Wasn't the scene with the judge great ? ",joy
" Ha , yes , brilliant ! ",joy
 Thanks . ,joy
Come on in . I am so glad you are here . We have been expecting you . ,joy
" Great , here are some flowers for you . I hope you like them . I was not sure if the color will suit your new apartment . ",joy
" Thank you , they ’ re beautiful . You can hang your coat over there . Try this new couch , it is so comfortable . You will love it . Want something to drink , tea , coffee , juice or Cola ? ",joy
 It is such a nice place . ,joy
" Well , I don ’ t mean to boast but all the designs are done by myself and some colleagues are already trying to copy some of them for their new apartments . Look , they are making photos now of my designed kitchen . ",joy
" John , I am just not in the mood for this . ",sadness
 I lost the table tennis game yesterday . ,sadness
 I just don ’ t want to play table tennis any more . ,sadness
 My opponent bowled me with the very first ball . I was wondering if it's appropriate for me to play table tennis . ,sadness
" Oh , come on ! Failure is the mother of success . Don ’ t lose heart . I'm sure you'll succeed . ",joy
 Perhaps you are right . But I still need some time to recover from the failure . ,joy
 I understand . ,joy
The band is pretty good . How do you like the music ? ,joy
 It's very nice . I haven't heard live music in a while . This is fun . ,joy
" Well , then , may I invite you for the next dance ? ",joy
 Of course . But I'm afraid I'm not much of a dancer ... ,joy
 Don't worry . I'm not much of a dancer myself . ,joy
 You're dancing so well . ,joy
 You dance beautifully too . ,joy
 When did you learn to dance ? ,joy
 In college . But I don't dance very often . What's your favourite dance ? ,joy
 It's hard to say . It depends . But I love the waltz . ,joy
 How about tango ? ,joy
" Oh , I like it . It's such a beautiful dance , but I can't do it well . What about you ? ",joy
 Tango is my favorite . Anything but hip-hop or the foxtrot . ( the music has stopped ) ,joy
 Thank you for the dance . ,joy
 My pleasure . Let's go and have a drink . ,joy
 OK . ,joy
I just had a terrible week . ,sadness
 I fell down and hurt my arm . ,sadness
"I ’ m so excited , mother . Oh , a new baby ! ",joy
 My first grandchild . ,joy
" And my first nephew . He looks a lot like you , mum . He does . ",joy
" Do you think so ? Well , I guess . He does look a lot like me . Oh , he ’ s got Richard ’ s eyes though . ",joy
" Yes , he does have Richard ’ s eyes . The baby even looks like you than Richard does . ",joy
" Well , children usually resemble their parents . ",joy
 It ’ s true . Michelle is a lot like Henry in so many ways . And she is shy with new people just like he is . ,joy
 You often like comparing children with their parents . ,joy
 You ’ re right . ,joy
" Well , I've never been to either so I was thinking of going to Disneyworld for my honeymoon . ",joy
 When are getting married ? ,joy
 Some time next year . We haven't set the date yet . ,joy
 Congratulations ! I had no idea . ,joy
 Thank you . So what do you think ? Would we have a good time ? ,joy
" If you don't think twice about the rides and go on every ride that you can , you'll have a good time . ",joy
 Even the roller coasters that go through tunnels in the dark ? ,joy
" Even those . It'll be very romantic , I think . You'll have loads of fun . ",joy
 Thanks for the advice . I'll talk to my fiance about it tonight . ,joy
 I'm sure he'll love the idea . Just throw yourself into it and you'll enjoy it ! ,joy
" I not only passed my test , but I aced it ! I'm so happy ! ",joy
" thanks for helping me with it . If you hadn't encouraged me to do my best , I wouldn't have ever been able to pass . ",joy
 really ? ,other
Do you want to go to the beach tonight ? ,joy
" Sure , which beach are we going to ? ",joy
 The water there looks so dirty . ,other
" I like the pier too , because it's beautiful at night . ",joy
 So you want to go to Malibu ? ,joy
 If that's okay with you . ,joy
" Sure , let's go to Malibu . ",joy
Kathy ! How are you ? It's been ages ! What are you doing these days ? ,other
 You're kidding ! You've always hated cooking ! ,other
" I still can't believe it ! So , did you go to cooking school or something ? ",other
 Really ? How long did you stay there ? ,other
"Susan , I am inviting you and Frank to our house warming party this weekend . ",joy
" Yes , Deborah and I are going to buy a new home in Woodlawn . ",joy
 Congratulations ! That ’ s wonderful . I bet both of you are quite happy . ,joy
 That ’ s fantastic . Thank you . ,joy
 OK . I'll try a Pinto . I want to rent a car for one week . ,joy
" All right , sir . May I have your driver's license ? ",joy
 Here you are . ,joy
" Sure , I'd love to . ",joy
" Yes , I'd love to.Here is a good one , Mozart and Beethoven.It ' s on the Festival Hall . ",joy
 Fine ! Do you want anything to eat now ? ,joy
" Oh , great ! I hope I can spend this Spring Festival with you here in Beijing . ",joy
 I'm sure you'll have a good time . ,joy
I'm really sick of waiting for a bus . ,other
 Thanks for reminding me . She's the right person to help me . ,joy
" With everything , with everybody , with all this ! ",anger
" Oh , that's so nice of you ! Thank you very much . ",joy
" My pleasure Miss . Actually , could you recommend what to eat here ? I've never been here before . ",joy
" Well , thanks for the suggestions . ",joy
" Oh , don't mention it . ",joy
" So , can I buy some new shoes as a Christmas present ? ",joy
" Sure , a promise is a promise . ",joy
 I ’ m rather disappointed at not being able to see my best friend off . ,sadness
 Hawaii ? My dream honeymoon destination ? ,other
" Oh , Jack ! That's wonderful ! ",joy
 You bet ! ,joy
 Really ? That's a straws in the wind . ,other
 I would like to compliment you on your diligence . ,joy
" Well , thank you , Mr . Smith . But I was just doing my job . ",joy
" Yes . And we're proud of you , Loans . ",joy
 It's nice of you to say so . ,joy
"Welcome to my birthday party , I am so happy you can come . ",joy
" Thanks for inviting me . Here is the gift for you . Happy birthday , Francis ! Many more happy and healthy years for you ! ",joy
" Wow , a remote car model and my favorite brand . I really like it . That is so nice of you . ",joy
" Yeah , I was really struggling whether I should give you this nice little car . It was the last one they had and I really like it so much myself . ",joy
" Typical you , always wanting to keep the best things for yourself . The more I appreciate the gift now . ",joy
"Hi , it is a pleasant surprise ! ",joy
" Yeah , it ’ s been ages ! So how have you been ? ",joy
 Couldn ’ t be better . And you ? ,joy
" Just as usual , you know . ",joy
 The tapping of your pen on your desk . It ’ s driving me crazy . ,anger
 Fine ! By the way would you mind not slurping your coffee every time you have a cup ! ,anger
" I don ’ t slurp my coffee . And plus , how can you hear it when you ’ re shouting into your phone all the time ? ",anger
 You ’ Ve got to be kidding me ! You ’ re complaining about me talking on the phone when you go out for a cigarette break ten times a day to shoot the breeze ? ,anger
" Look , we have a lot of accumulated anger from working in these conditions , and it ’ s probably okay to let off steam once in a while . But , it ’ s probably not a good idea to keep it up I ’ m willing to forgive and forget and if you are . ",anger
 Fine . Let's call a truce . I'll try to more considerate and to keep the noise down . ,anger
The weather in Beijing is just beautiful ! ,joy
" Autumn is the best season in Beijing , you know . ",joy
" Yes , I can see . The summer heat is over , and the winter cold is still far away . ",joy
 What is the weather like in Washington at this time of this year ? ,joy
 Autumn is also very nice in Washington . ,joy
"Mike , come and look at this painting of shrimp ! It is so simple yet so vivid ! ",joy
 Yeah . It is incredible ! Is it the work of Qi Bakshi ? ,joy
" Yes , it is . How do you know that ? ",joy
" Cool ! What kind of Chinese painting do you prefer , free sketch or claborate-style painting ? ",joy
 I love this art exhibition ! ,joy
" So do I . Let ’ s go to other areas to see what they have got , shall we ? ",joy
 OK . ,joy
"Lousy weather , isn't it ? ",other
 It feels like ten degrees below zero at least . I don't mind the cold weather but I do hate it when it gets slippery . ,other
 The ice will soon be thick enough for skating . I am so fond of winter sports . ,joy
 That's great . Let's go skating together tomorrow . ,joy
"Nick , it's very nice of you to see me off . ",joy
 You're welcome . Did you have a good time on this vacation ? ,joy
 Very well . If I leave I'll miss you . ,joy
 Me too . Please write to me as soon as you get Boston . ,joy
 I'm sure and I remembered your phone number . I'll call you . ,joy
" OK , they begin to register . ",joy
 It's time I left . ,joy
 Have a nice journey ! Do give my regards to your parents . ,joy
" Well , that sounds like it would be OK . Just be careful . ",joy
 Did you ? And what did you study ? ,other
 Really ? Do you like it ? ,other
what a nice garden ! Look at these tulips ! ,joy
 never mind . Let's go to the falls and try again . ,joy
" Ok , let's go . ",joy
 It's the new neighbor . I hate her guts . ,anger
 She made another white crack about my clothes . ,anger
 Perfect . So you can audition this weekend here at my house . ,joy
